Conf,Rayon Giration,Distance,ecart-type Distance,RMSD,ecart-type RMSD,Ratio Giration,Correlation,p-value Correlation
REF,17.447989,0,,,,,,
264,17.791563,11.661725,3.095198,0.994442,0.702401,1.019691,0.337143,0.001235
265,17.753433,11.651297,3.13856,1.207955,0.675537,1.017506,0.409893,6.6e-05
266,17.955376,11.661183,3.105229,1.214809,0.748651,1.02908,0.414067,5.5e-05
267,17.808449,11.699115,3.175301,1.313863,0.845693,1.020659,0.4497,1e-05
268,17.73092,11.638532,3.130394,1.250537,0.823721,1.016216,0.388734,0.000167
269,17.535059,11.609289,3.139583,1.271344,0.842109,1.00499,0.394697,0.000129
270,17.808763,11.697599,3.148635,1.313732,0.762198,1.020677,0.405466,8.1e-05
271,17.492876,11.671486,3.09022,1.144733,0.777198,1.002573,0.392816,0.00014
272,18.015036,11.770138,3.113911,1.247854,0.876509,1.032499,0.380955,0.00023
273,17.626707,11.670285,3.135367,1.266848,0.837777,1.010243,0.472608,3e-06
274,17.419944,11.64092,3.153304,1.136707,0.795672,0.998393,0.496028,1e-06
275,17.295464,11.580957,3.088302,1.070401,0.708487,0.991258,0.470032,3e-06
276,17.728544,11.599268,3.116101,1.1087,0.765724,1.016079,0.314215,0.002711
277,17.340593,11.562856,3.103869,1.091898,0.733655,0.993845,0.364693,0.000442
278,17.296979,11.592938,3.060088,1.099863,0.72755,0.991345,0.424448,3.4e-05
279,17.986552,11.628521,3.131474,1.142673,0.796387,1.030867,0.336338,0.00127
280,17.803128,11.687078,3.127744,1.127083,0.787595,1.020354,0.37221,0.000328
281,17.72133,11.656035,3.17763,1.12036,0.770786,1.015666,0.367462,0.000396
282,17.426944,11.557259,3.136593,1.15346,0.780387,0.998794,0.425666,3.2e-05
283,18.026845,11.64548,3.150323,1.334303,0.889156,1.033176,0.450168,1e-05
284,17.657751,11.605447,3.117011,1.17418,0.761369,1.012022,0.406175,7.8e-05
285,17.506194,11.604552,3.162047,1.240708,0.827325,1.003336,0.497901,1e-06
286,17.614257,11.57539,3.169827,1.21345,0.838117,1.009529,0.493403,1e-06
287,17.868533,11.577789,3.147521,1.115932,0.726225,1.024103,0.417865,4.6e-05
288,17.815503,11.602443,3.166356,1.197033,0.745018,1.021063,0.500646,1e-06
289,17.729499,11.653537,3.166653,1.116704,0.751296,1.016134,0.455898,7e-06
290,17.743626,11.677068,3.2298,1.202314,0.824068,1.016944,0.52295,0.0
291,17.445827,11.608108,3.110274,1.335938,0.766534,0.999876,0.428885,2.7e-05
292,17.786991,11.657306,3.153038,1.221061,0.824294,1.019429,0.478045,2e-06
293,17.572287,11.613943,3.152498,1.242676,0.843407,1.007124,0.440608,1.6e-05
294,17.338289,11.574289,3.156417,1.13443,0.798633,0.993713,0.451599,9e-06
295,17.251524,11.586815,3.109019,1.199318,0.764968,0.98874,0.44073,1.5e-05
296,17.710697,11.754583,3.137849,1.212456,0.780829,1.015057,0.360833,0.000513
297,17.50156,11.571791,3.165701,1.246877,0.738497,1.00307,0.471405,3e-06
298,18.249706,11.646562,3.145554,1.258277,0.814978,1.045949,0.506989,0.0
299,17.473348,11.563329,3.169176,1.252409,0.730278,1.001453,0.478926,2e-06
300,17.318198,11.591605,3.078952,1.173055,0.683139,0.992561,0.426909,3e-05
301,17.156659,11.61354,3.086088,1.266211,0.725535,0.983303,0.491361,1e-06
302,17.610801,11.640315,3.114218,1.170108,0.751791,1.009331,0.438219,1.7e-05
303,17.586256,11.588169,3.065351,1.166069,0.688028,1.007925,0.472888,3e-06
304,17.538285,11.560839,3.13028,1.158266,0.724656,1.005175,0.477475,2e-06
305,17.896453,11.675649,3.182237,1.210235,0.834408,1.025703,0.51032,0.0
306,17.539127,11.684269,3.148205,1.134788,0.721998,1.005223,0.388413,0.000169
307,17.351873,11.627564,3.159444,1.099734,0.768564,0.994491,0.418454,4.5e-05
308,17.660031,11.618618,3.212666,1.188354,0.739648,1.012153,0.405665,8e-05
309,17.775201,11.676164,3.205257,1.115827,0.69901,1.018754,0.364467,0.000446
310,17.582534,11.655482,3.228048,1.123924,0.827247,1.007711,0.443147,1.4e-05
311,17.725107,11.644424,3.165325,1.212127,0.824995,1.015883,0.391237,0.00015
312,17.259001,11.557678,3.157293,1.174424,0.746232,0.989169,0.525869,0.0
313,17.493932,11.655321,3.120352,1.185723,0.706898,1.002633,0.421963,3.8e-05
314,17.116469,11.672236,3.073566,1.195509,0.758704,0.981,0.38264,0.000215
315,18.05789,11.639583,3.115093,1.169164,0.635674,1.034955,0.428741,2.8e-05
316,18.045624,11.652875,3.176295,1.286992,0.772614,1.034252,0.472509,3e-06
317,17.76184,11.588203,3.090351,1.082127,0.707069,1.017988,0.45405,8e-06
318,17.662435,11.635255,3.148326,1.192626,0.736858,1.012291,0.408727,7e-05
319,17.667368,11.641869,3.138598,1.229862,0.756886,1.012573,0.460984,5e-06
320,17.393287,11.569868,3.130741,1.133794,0.761211,0.996865,0.468452,4e-06
321,17.243315,11.610175,3.10764,1.123321,0.7507,0.988269,0.505231,0.0
