Conf|	Rayon Giration	|	Distance		|		RMSD		|	Ratio Giration	|	Correlation	(p-value)
REF	|	17.44799		|			0
144	|	18.13491		|	11.78267	(+/-3.20713)	|	1.22768	(+/-0.90723)	|	1.03937		|	0.41445	(5e-05)
145	|	18.41267		|	11.80088	(+/-3.2213)	|	1.35575	(+/-0.94524)	|	1.05529		|	0.50039	(0.0)
146	|	18.12514		|	11.7389	(+/-3.21012)	|	1.20468	(+/-0.89299)	|	1.03881		|	0.45505	(1e-05)
147	|	18.14866		|	11.79795	(+/-3.14743)	|	1.34093	(+/-0.88807)	|	1.04016		|	0.40694	(8e-05)
148	|	18.28497		|	11.70005	(+/-3.19685)	|	1.23581	(+/-0.89803)	|	1.04797		|	0.44598	(1e-05)
149	|	18.30655		|	11.72693	(+/-3.23631)	|	1.08099	(+/-0.81094)	|	1.04921		|	0.41042	(6e-05)
150	|	18.22867		|	11.74295	(+/-3.2196)	|	1.19407	(+/-0.84885)	|	1.04474		|	0.44327	(1e-05)
151	|	18.27089		|	11.74229	(+/-3.23873)	|	1.19922	(+/-0.85983)	|	1.04716		|	0.46627	(0.0)
152	|	17.95443		|	11.73459	(+/-3.23881)	|	1.26829	(+/-0.80868)	|	1.02903		|	0.44038	(2e-05)
153	|	18.186		|	11.66913	(+/-3.21927)	|	1.29907	(+/-0.82216)	|	1.0423		|	0.48163	(0.0)
154	|	18.41799		|	11.76467	(+/-3.23815)	|	1.43561	(+/-0.97674)	|	1.05559		|	0.50765	(0.0)
155	|	18.16798		|	11.71369	(+/-3.21898)	|	1.19106	(+/-0.81966)	|	1.04126		|	0.50872	(0.0)
156	|	18.43292		|	11.78467	(+/-3.25405)	|	1.32825	(+/-0.80311)	|	1.05645		|	0.56938	(0.0)
157	|	18.6112		|	11.6887	(+/-3.22093)	|	1.19482	(+/-0.84575)	|	1.06667		|	0.46764	(0.0)
158	|	18.04924		|	11.71176	(+/-3.20002)	|	1.21461	(+/-0.86917)	|	1.03446		|	0.50233	(0.0)
159	|	18.31494		|	11.76142	(+/-3.19974)	|	1.27623	(+/-0.85238)	|	1.04969		|	0.45699	(1e-05)
160	|	18.17778		|	11.86936	(+/-3.31725)	|	1.31177	(+/-0.97977)	|	1.04183		|	0.47437	(0.0)
161	|	18.53525		|	11.6714	(+/-3.23536)	|	1.30534	(+/-0.80495)	|	1.06231		|	0.43048	(3e-05)
162	|	17.78869		|	11.77308	(+/-3.18355)	|	1.3233	(+/-0.80251)	|	1.01953		|	0.41395	(6e-05)
163	|	18.05612		|	11.68054	(+/-3.1656)	|	1.25657	(+/-0.91797)	|	1.03485		|	0.46342	(0.0)
164	|	18.00298		|	11.7655	(+/-3.15254)	|	1.25391	(+/-0.83392)	|	1.03181		|	0.49304	(0.0)
165	|	18.28928		|	11.81164	(+/-3.20849)	|	1.30331	(+/-0.822)	|	1.04822		|	0.45973	(1e-05)
166	|	17.92263		|	11.74801	(+/-3.18084)	|	1.38578	(+/-0.77243)	|	1.0272		|	0.53369	(0.0)
