Conf|	Rayon Giration	|	Distance		|		RMSD		|	Ratio Giration	|	Correlation	(p-value)
REF	|	16.75127		|			0
206	|	17.50888		|	11.71694	(+/-2.68745)	|	1.04828	(+/-0.65868)	|	1.04523		|	0.43143	(2e-05)
207	|	17.92061		|	11.75405	(+/-2.7765)	|	1.16074	(+/-0.71193)	|	1.06981		|	0.56005	(0.0)
208	|	17.87538		|	11.62765	(+/-2.74707)	|	1.25333	(+/-0.75795)	|	1.06711		|	0.60463	(0.0)
209	|	17.3429		|	11.68502	(+/-2.75481)	|	1.12016	(+/-0.76915)	|	1.03532		|	0.43725	(2e-05)
210	|	17.18902		|	11.62055	(+/-2.71748)	|	1.13092	(+/-0.66841)	|	1.02613		|	0.51189	(0.0)
211	|	16.88539		|	11.5743	(+/-2.77243)	|	1.01295	(+/-0.64368)	|	1.00801		|	0.53424	(0.0)
212	|	17.00977		|	11.63971	(+/-2.77021)	|	1.08982	(+/-0.65967)	|	1.01543		|	0.54864	(0.0)
213	|	16.89552		|	11.6295	(+/-2.67208)	|	1.18423	(+/-0.73226)	|	1.00861		|	0.39581	(0.00012)
214	|	16.86981		|	11.56104	(+/-2.72112)	|	1.14191	(+/-0.65738)	|	1.00708		|	0.56348	(0.0)
215	|	16.98003		|	11.67251	(+/-2.71054)	|	1.16576	(+/-0.74434)	|	1.01366		|	0.56161	(0.0)
